date;var;cvar
2013-12-12;-0.007102405021761509;-0.011489727013389444
2013-12-13;-0.007213538822188497;-0.011807356027711498
2013-12-16;-0.007078874931652238;-0.011480824431160278
2013-12-17;-0.007069339284730626;-0.011543470855186436
2013-12-18;-0.008233091139775614;-0.01609339260057846
2013-12-19;-0.007066627099700535;-0.011602380473129843
2013-12-20;-0.007093535307316564;-0.011626762423436396
2013-12-23;-0.007178167674668398;-0.011745478453685902
2013-12-24;-0.007104165586477021;-0.0116566883706181
2013-12-25;-0.0070413204131776;-0.011664682481561196
2013-12-26;-0.007181478290988529;-0.011779520686314927
2013-12-27;-0.007147856376485594;-0.011624387331381894
2013-12-30;-0.007212546194240632;-0.01180402631788185
2014-01-06;-0.007233410258161426;-0.01203706278837149
2014-01-08;-0.007449019455928265;-0.012021934257008877
2014-01-09;-0.00737504075595845;-0.011909683421523043
2014-01-10;-0.007477189533156791;-0.012151258977832986
2014-01-13;-0.007521067970074768;-0.012242309188748211
2014-01-14;-0.007630566897843441;-0.012378007621625968
2014-01-15;-0.007698025016485857;-0.012451268778132461
2014-01-16;-0.007494655464734445;-0.012076185376327306
2014-01-17;-0.007659114460473946;-0.012414603386101692
2014-01-20;-0.007649402250343197;-0.012269889917917104
2014-01-21;-0.0076237820809211265;-0.012160278741645306
2014-01-22;-0.00773879212056242;-0.012528817716238903
2014-01-23;-0.007724777961982302;-0.01243951438373945
2014-01-24;-0.0077616604855804015;-0.012416642074069383
2014-01-27;-0.0077704499964568;-0.012398467496345166
2014-01-28;-0.007892273238786112;-0.012581976219604397
2014-01-29;-0.007908146967057989;-0.012774064832374763
2014-01-30;-0.007810933787515526;-0.012638520359877507
2014-01-31;-0.007760795399567743;-0.01250755588132357
2014-02-03;-0.007873827129593376;-0.012713147730998894
2014-02-04;-0.007832154410699661;-0.012564702319365585
2014-02-05;-0.007910462796881595;-0.012625620065998993
2014-02-06;-0.007856568611906773;-0.012661065648909904
2014-02-07;-0.007856885434691886;-0.012759105064054074
2014-02-10;-0.007800639787705269;-0.012544016046004386
2014-02-11;-0.007842431906082394;-0.01271687895437484
2014-02-12;-0.007833752326226986;-0.01274293032249624
2014-02-13;-0.008033149699813202;-0.013395839147437229
2014-02-14;-0.007838620349519812;-0.012656961040568421
2014-02-17;-0.0078073783758523295;-0.01256359195728576
2014-02-18;-0.007744873326415587;-0.01245559548122889
2014-02-19;-0.007829964634883037;-0.012761803993811827
2014-02-20;-0.007809178943795188;-0.012681289787511745
2014-02-21;-0.007730593278660342;-0.012540992703825122
2014-02-24;-0.007744674505690052;-0.012659319176333002
2014-02-25;-0.007714537572520494;-0.012450753400954417
2014-02-26;-0.007783529009421777;-0.012808450387430316
2014-02-27;-0.007677119017258575;-0.012483146907574464
2014-02-28;-0.007774830550596734;-0.012689120114445236
2014-03-03;-0.007919747683641508;-0.013053342298639668
2014-03-04;-0.00843222115755555;-0.013959951900777787
2014-03-05;-0.008420029208860518;-0.014167971461681158
2014-03-06;-0.008406255861353193;-0.013983836986912749
2014-03-07;-0.008512452359053582;-0.01401016356195389
2014-03-11;-0.008731619888148051;-0.014753012987072838
2014-03-12;-0.008915303728299136;-0.014937831123867897
2014-03-13;-0.00891705084836773;-0.014644332969637151
2014-03-14;-0.009125748239174869;-0.014891599630460495
2014-03-17;-0.009347355638251125;-0.015312363876649455
2014-03-18;-0.009205369651352983;-0.015502586290514552
2014-03-19;-0.008992519174706276;-0.01496210990176888
2014-03-20;-0.009081753193874753;-0.015025772333495663
2014-03-21;-0.009068700453965685;-0.015013795994099707
2014-03-24;-0.009099904729967433;-0.015137069769270196
2014-03-25;-0.009017721963930197;-0.014919247445649009
2014-03-26;-0.008960035731891866;-0.015480000347797774
2014-03-27;-0.008783021767013725;-0.014621986252242083
2014-03-28;-0.009068914369337355;-0.01536421597513632
2014-03-31;-0.008862490680387193;-0.014724586442484987
2014-04-01;-0.008836915976707077;-0.014827176398197982
2014-04-02;-0.008832684374924831;-0.014877156909190031
2014-04-03;-0.008861556013984724;-0.0148576327122406
2014-04-04;-0.008903420798667927;-0.014766555680060368
2014-04-07;-0.008711086257701615;-0.014650464684264456
2014-04-08;-0.008963379196138944;-0.015096258186586824
2014-04-09;-0.00893419074931784;-0.014731747839744711
2014-04-10;-0.008978831720859788;-0.015164209963469167
2014-04-11;-0.008841827109759877;-0.014763603533591834
2014-04-14;-0.008856733652213152;-0.014907407495516636
2014-04-15;-0.008879482546458749;-0.015083010694059075
2014-04-16;-0.009024819745354596;-0.01478875645143596
2014-04-17;-0.009001192535840807;-0.01513231100473424
2014-04-18;-0.008861024580552705;-0.015025328210677976
2014-04-21;-0.008836195504313582;-0.014987511217898805
2014-04-22;-0.008815269049478389;-0.014896151446537453
2014-04-23;-0.009058842443677138;-0.01532564315667008
2014-04-24;-0.008994490002377602;-0.015019402118288176
2014-04-25;-0.009236076376822193;-0.015516581181425178
2014-04-28;-0.009324107998037063;-0.015519324635674903
2014-04-29;-0.009327660983803209;-0.015461529013387605
2014-04-30;-0.010011152317769174;-0.01820661004333174
2014-05-02;-0.009361640430020189;-0.01554804798470438
2014-05-05;-0.009578203598673172;-0.016035084198955885
2014-05-06;-0.009368355459829733;-0.015464959436058363
2014-05-07;-0.009481411007494254;-0.016241043679352907
2014-05-08;-0.009437224179566604;-0.015758656413444802
2014-05-12;-0.009277023903009928;-0.015459443882949689
2014-05-13;-0.009420074491637564;-0.016067549816854185
2014-05-14;-0.009144351985103003;-0.015243194245841026
2014-05-15;-0.009096206665646662;-0.015341422368198826
2014-05-16;-0.009022448700528946;-0.015326843309262855
2014-05-19;-0.008978830171664561;-0.015163967029432837
2014-05-20;-0.008945454691069195;-0.014986543993186725
2014-05-21;-0.009091316456828933;-0.01568252103123697
2014-05-22;-0.009242433685719654;-0.015735484132532666
2014-05-23;-0.008812159719366237;-0.015106182339022282
