col1;col2
-5.4346067e-001;8.0753125e-001
-1.2740297e-001;6.7715432e-001
4.6351106e-001;1.9594105e-001
6.6445883e-001;8.3466837e-001
2.8567163e-001;6.5373856e-001
-2.6885503e-001;-5.7342119e-001
-2.1630594e-001;-8.6550089e-002
1.2091443e+000;6.3260256e-001
-4.3899627e-002;1.0077568e-001
-1.5469194e-001;-5.6592604e-001
-1.0365364e+000;-1.1347477e+000
-6.1470928e-001;-5.0654424e-001
4.2227032e-001;5.3497154e-001
-2.9925037e-001;4.4027499e-001
3.8377998e-001;8.3792165e-002
9.9184034e-001;9.4224708e-001
2.3750440e-001;7.0369324e-001
-2.8088852e-001;3.6932784e-001
-4.2239116e-001;2.5096731e-001
-6.1835119e-001;-6.5705278e-001
1.2273265e+000;4.6391024e-001
-6.5703753e-002;3.9627330e-001
-4.6638324e-001;3.2952747e-001
-6.3158264e-001;-2.6232004e-001
1.2750402e-001;2.8184614e-001
2.0168873e-001;8.0896806e-001
-1.5497195e-001;5.8553512e-001
-2.7508587e-001;-4.3910314e-001
-1.0636086e+000;-6.7256199e-001
-2.4299414e+000;-2.9866015e+000
4.9432444e-001;8.3220256e-001
2.9349563e+000;3.0716843e+000
1.4248255e-001;1.3613304e-002
1.0434774e+000;4.8102064e-001
-7.3506741e-002;1.1317759e-002
-4.8641762e-001;2.0863683e-002
9.1973660e-001;8.1630790e-001
-2.2735947e-001;-3.1077537e-002
-2.4215218e-001;-1.8504869e-001
-4.3899627e-002;-5.0076663e-002
-8.9983250e-001;-9.6161471e-001
-3.4790772e-001;-6.2572586e-001
-4.3899627e-002;-2.4140880e-001
5.9752801e-002;-4.8142184e-002
-1.9210245e-001;1.6827880e-001
-8.6531159e-001;-1.3693750e+000
1.0820287e-001;6.2826206e-001
6.4768752e-001;1.1797992e+000
-7.8236596e-001;-9.0185087e-001
9.3929415e-001;-2.4961373e-001
-1.1025223e-001;-1.4902414e-001
1.1129649e-001;6.0387451e-001
1.7191303e-001;7.4130681e-001
-2.1598253e-001;8.1099585e-001
-3.3247140e-001;-5.2541695e-001
5.7137689e-001;2.8859713e-001
-3.1034166e-001;2.0602000e-001
-1.6976413e-001;-2.1693931e-001
-4.1512759e-001;-5.1801611e-001
3.1241284e-001;4.0647564e-001
8.1292519e-003;2.5881413e-001
-2.3690699e-001;-4.6341008e-001
-9.6831911e-001;-1.1620059e+000
-8.1880530e-001;-7.1212016e-002
-6.8747660e-001;-8.6042260e-001
6.6785679e-001;1.5312627e-001
-6.3407548e-001;-7.1735359e-001
9.7521145e-001;3.6361657e-001
1.9636088e-001;5.5089714e-001
1.1527938e+000;1.2153632e+000
6.7479912e-001;1.5446428e+000
6.2264935e-001;1.2205790e+000
-3.2911321e-001;-9.1713680e-001
7.4368841e-001;4.3914927e-001
-5.9004992e-001;-4.1071877e-001
-7.1863638e-001;-1.6560231e-002
-7.0618836e-003;-4.1750814e-001
-8.5615522e-001;-1.2569490e+000
-4.2322520e-001;-7.3706460e-001
1.3021207e+000;7.6165613e-001
4.9052128e-001;9.0864938e-001
2.7694999e-001;1.2159395e+000
-1.3118354e-001;2.5611190e-001
-4.5856025e-001;-4.2833730e-001
-3.9722561e-001;-6.8618871e-001
-5.1519188e-001;1.9520367e-001
1.9202414e-001;7.2338264e-002
4.7016944e-001;1.0192945e+000
-3.2260021e-001;4.6210709e-001
-1.5296809e-001;4.2863265e-001
3.4386942e-001;8.4834676e-001
3.2149489e-001;3.8064728e-002
-1.0263870e-001;-2.8949857e-001
-4.0499625e+000;-4.3872539e+000
9.5342097e-001;5.9531685e-001
-1.4361278e+000;-2.1782991e+000
-9.8492231e-002;4.5488349e-001
4.8208111e-002;7.4693641e-001
-1.0721158e+000;-7.8248657e-001
-6.4572174e-002;-7.3241297e-001
4.3734980e-001;-1.7446550e-001
-5.9753664e-001;5.5185497e-002
-4.3899627e-002;-5.0076663e-002
-2.2682545e-001;1.6393343e-001
1.3523255e+000;1.2790922e+000
-2.4168315e-001;4.0658375e-001
-6.5677882e-001;3.1300884e-001
-8.2310644e-001;-2.8387240e-001
-1.3739803e-001;3.7409222e-001
-5.5448583e-001;-2.2737340e-001
-3.1937709e-001;-2.5950474e-001
1.1954595e-002;-5.3606559e-001
9.8727000e-001;7.8160685e-001
6.2053177e-001;8.4502486e-001
1.1723866e-001;4.7176146e-001
-6.2108198e-001;-7.9401371e-001
1.5574246e-001;-2.4139690e-002
1.7250235e-001;-1.0385710e+000
6.4341180e-001;1.7976769e-001
2.9141311e+000;1.4578340e+000
8.9130213e-001;9.8517850e-001
